Patient,No benefits,Responder,TIDE,IFNG,MSI Expr Sig,Merck18,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2
TCGA-D7-5578-01A,FALSE,NR,0.89,0,0.48,0.08,0,0.12,TRUE,0.89,0.26,0.03,0,0
TCGA-D7-6519-01A,FALSE,R,-0.15,-0.18,0.46,-0.03,0,0.07,TRUE,-0.15,1.44,0.15,0.05,0.02
TCGA-D7-6520-01A,FALSE,NR,1.06,-0.02,0.36,-0.02,0,-0.31,FALSE,0.32,1.06,0.02,0.15,0.01
TCGA-D7-6521-01A,FALSE,NR,1.12,-0.04,0.38,0.07,0,0.24,TRUE,1.12,0.01,-0.11,0.12,0
TCGA-D7-6522-01A,FALSE,NR,2.54,0.07,0.51,0.22,0,0.36,TRUE,2.54,-0.55,-0.17,0.13,-0.03
TCGA-D7-6524-01A,FALSE,NR,1.01,-0.13,0.48,-0.06,0,-0.15,FALSE,0.91,1.01,-0.06,0.26,-0.04
TCGA-D7-6525-01A,FALSE,NR,1.42,-0.15,0.39,-0.05,0,-0.08,FALSE,-0.02,1.42,0.13,0.12,-0.02
TCGA-D7-6526-01A,FALSE,NR,0.67,-0.29,0.33,-0.28,0,-0.47,FALSE,-0.59,0.67,0.11,-0.06,0.04
TCGA-D7-6527-01A,FALSE,NR,0.52,-0.09,0.42,-0.09,0,-0.21,FALSE,0.07,0.52,0.04,0,0.05
TCGA-D7-6528-01A,FALSE,NR,0.12,-0.1,0.44,-0.14,0,-0.47,FALSE,-0.52,0.12,0.13,-0.11,0.01
TCGA-D7-6815-01A,FALSE,NR,0.51,-0.11,0.44,-0.08,0,-0.28,FALSE,-0.21,0.51,0.02,0.03,0.03
TCGA-D7-6818-01A,FALSE,NR,0.47,-0.25,0.41,-0.07,0,-0.35,FALSE,1,0.47,-0.02,0.11,-0.01
TCGA-D7-6822-01A,FALSE,NR,0.47,0.15,0.35,0.03,0,0.06,FALSE,-0.52,0.47,0.06,0,0.01
