"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-RD-A8N2-01A",0.0482957764139336,0.0521035878377807,0.0231353323676506,0.169990647876018,0,0.199580847594703,0.0166829700817429,0,0.0300032472702841,0,0.0144615990256901,0,0.0325314163450196,0,0.0439877792922064,0.181067073405758,0.072458396042391,0.0161361509553464,0.0995651754914758,0,0,0,0,0.411038714447219,0.910904345476321
"TCGA-VQ-A92D-01A",0,0.069859155758267,0.0537032281553741,0.0358230465548909,0,0.214189326297432,0.0398403950852218,0.0370533037605291,0.0360150637037693,0,0.0050136278195592,0.0194533249312535,0,0.149822612028512,0.162852876742639,0.0932364061889629,0,0.0129472876262193,0,0.0691328487105668,0.00105749663680328,0,0,0.193476658061651,1.01604690794931
"TCGA-CG-5721-11A",0.0106846620890542,0.0488208105281542,0.196018095656956,0.198398378902429,0,0.208474704016083,0.0502749952796195,0,0.0399397322559035,0.0253542885679944,0.000846524367207449,0,0.00606135407855342,0,0.0363329220737426,0.105229073661431,0.00626830664829285,0.0138335089959428,0.0389454910522837,0.0133674061255559,0.00114974570079691,0,0,0.57960265384549,0.820425595395113
"TCGA-HU-A4GT-01A",0.0338781531562585,0,0.0828592168220807,0.0397736752966295,0,0.291996337179278,0.0441510751217458,0.000690259644280754,0.0461715887988564,0.0162357684551992,0,0.0473989521052168,0,0.140931809614005,0.0634268792532722,0.122950084990832,0.012980339063891,0.0179604430818254,0.0266891280516129,0,0,0.0119062893650152,0,0.298253560542137,0.962332852120333
"TCGA-ZA-A8F6-01A",0.0597104342657519,0,0.0180244085589257,0.0996716064461971,0,0.156112275739931,0,0,0.0429588617517212,0,0,0.0193367769664413,0.0136606204333165,0.163303893908775,0.0269083395789097,0.189787296627705,0.0758006889930309,0.0128493841389583,0.121875412590336,0,0,0,0,0.452726593604041,0.892542278485314
"TCGA-D7-A74A-01A",0,0.0706551452959196,0.0855926009680797,0.188891366847028,0,0.152078596576184,0.0555438213700688,0.0512185711289422,0.0721730752158839,0,0,0.0063774994021844,0.0206267424069472,0.00207690275371821,0.0718400399400943,0.0921249514117072,0.0986072467075412,0.0277381052133711,0,0.0044553347623304,0,0,0,0.348099302347245,0.941424148074405
"TCGA-IN-A7NR-01A",0.0937186534290434,0.0200308791312226,0.0950588726832712,0.155162789155644,0,0.143608654822165,0.0211827742024777,0.00886417299343862,0.0827749351963088,0,0,0.0173885455914622,0.013539508970855,0,0.0486608279563211,0.128316419468892,0.0427264083737323,0.0440065805746291,0.0849599774505375,0,0,0,0,0.462728407591144,0.886685379715634
"TCGA-HU-A4H2-01A",0.0348934166851472,0.0233015119167247,0.114962912502457,0.153978518411722,0,0.154151090499503,0.0714221501881104,0.0346601328165682,0.0274897184876582,0,0,0.0183457739949982,0,0.102750803958115,0.0665136122904051,0.0664971074482117,0.0501097577908257,0.01713494622465,0.0515473487599189,0,0.00957618271441784,0.00266501531056727,0,0.432006614108537,0.901270127594161
"TCGA-BR-6456-01A",0.0454044040705279,0.0182151468291086,0.0353668914154931,0.0792118629534703,0,0.242630753510972,0.02494414250675,0,0.0254346418557547,0,0,0.0623700440572932,0.0250669798081886,0.0804002757423583,0.0739511056917045,0.1786172009639,0.0173948767295266,0.0362521131401167,0.0547395607248358,0,0,0,0,0.419223930105185,0.907058710062915
"TCGA-CD-8524-01A",0.0548266775436867,0,0.14094420752449,0.156522772308588,0,0.0748193254239521,0.0521664431541083,0.020361820728186,0.0490349583971938,0.0588783089394806,0,0,0,0.0638057581718656,0.113051503293547,0.127501735024802,0.0376381595306836,0.0145855068496094,0.0358628231098074,0,0,0,0,0.441889679423618,0.89623978983463
"TCGA-VQ-A8PO-01A",0.110454476913852,0,0.079621487597627,0.16669918007929,0,0.0905548243419615,0.0999946961822719,0.0697368952037459,0.0211749098483682,0,0.0454895076568145,0,0,0.130068925114691,0.0738279323164708,0.0600186236864312,0.0294428827716603,0.0229156582868158,0,0,0,0,0,0.509495209027721,0.86267459864486
"TCGA-BR-7717-01A",0.0916835786711845,0.0657700257009178,0.0625677674135341,0.103800658889087,0,0.194324161338054,0.05357143368747,0,0.0059987059401865,0,0,0.0124244946547672,0.0129241620356147,0.115209004166207,0.0698326923091987,0.129496255835339,0.0255365290291947,0,0,0.0453926738385782,0,0.0114678564906669,0,0.376541185980104,0.926553451869996
"TCGA-CG-4475-01A",0.0328738253532023,0,0.0126697990729906,0.00779622976004048,0,0.285176211456079,0.000318578673833951,0,0,0,0.0163313369575663,0,0.0410674080927658,0.0906791775753453,0.00417269828122614,0.109696436811845,0.0206419180411316,0.0623299882602658,0,0.19265397532508,0.0373229088620485,0.0862695074765789,0,0.402794876334924,0.915184795473567
"TCGA-HU-A4GP-01A",0.0600891705530865,0.0436960203925241,0.0362495600029191,0.0729480250278313,0,0.176725258915395,0.0726862132284196,0.00932948670816888,0.0173490205888041,0,0,0.0242254928357366,0.00552735769214449,0.108832493829269,0.039026667565304,0.161464417965336,0.0421763150975973,0.0247372262296996,0.0859480172546727,0,0.0073784145999948,0.0116108415130962,0,0.259614262179372,0.972581792210253
"TCGA-VQ-A94R-01A",0.112449102925079,0,0.0333647622585084,0.0779458613749435,0,0.238895163316712,0.0259275053380248,0.00149877388847822,0.0278030854611566,0,0,0.0326071036037491,0.0172017584497078,0.0403811413437109,0.10390643072922,0.166907707231617,0.0115113857459439,0.0125785694540247,0.0970216488791243,0,0,0,0,0.403128660455903,0.914342948040952
"TCGA-VQ-A91E-01A",0.0650828890405465,0.103875519185978,0.192645682938183,0.125652078689374,0,0.123416273265614,0.0200457091392341,0.0175929168289555,0.0192860313228128,0,0.0192993394339237,0.030931304357577,0.0358999078236893,0.103272641125749,0.0490797910824097,0.00194752679410466,0,0.0388229963895428,0,0.0284803498499915,0.0246690427323136,0,0,0.482975612263765,0.874802954903432
"TCGA-HU-A4GD-01A",0.168036849798171,0,0.110357944150463,0.00929633158758251,0,0.262800421530066,0.0284947986475582,0,0.0339376067353046,0,0.0430859756177399,0,0.02000370932219,0.0463513492116691,0,0,0.0393782080383955,0.100587451601028,0,0.119066091787915,0,0.0186032619719163,0,0.206317783745796,1.00581225194086
"TCGA-FP-8211-01A",0.089526213252509,0,0.124446717074384,0.089188367602561,0,0.313643216782358,0.0187817944359196,0,0.0195140847431468,0.0365341074857931,0,0.0430534254155657,0.00522337115446037,0.0203985491272839,0.0682210198205521,0.065536043149333,0.034222282427754,0.0309304757040488,0.0336359886265098,0.00714434319782175,0,0,0,0.457246464347535,0.888497647436917
"TCGA-D7-A747-01A",0.179236167476534,0,0.0141458578298711,0.113753234864517,0,0.222010597841807,0.0340853057864803,0.00495362436216847,0.0602676294532538,0.00261590118304212,0,0.0213198223992989,0,0,0.0567462024748175,0.108447955999431,0.0543746309638495,0.0242984895191721,0.103744579845758,0,0,0,0,0.525378393812269,0.855186706349359
"TCGA-RD-A8MV-01A",0.108582545570931,0.0419964091942994,0.0795818518773988,0.126874859847084,0,0.130973285328178,0.0308025693166793,0.0532803261177987,0.0270853642902496,0,0,0.02640028855122,0.0414986301886558,0.0380191997160264,0.0533781945446507,0.0509578335664669,0.0178112298590778,0.0686302434315459,0.0235168355205789,0.00233076762140918,0,0.0782795654577501,0,0.572170331764898,0.832040047382281
"TCGA-BR-4256-01A",0,0.0593934040242551,0.0643981874592486,0.0546369049272169,0,0.101557002734099,0,0.0619308320129538,0.00983224512751889,0,0.0325599512746219,0.0282420426805014,0.105086191150129,0.0176116425202545,0.0679988148345892,0.161293040896592,0,0.0768277013966142,0.0540042964467947,0,0.0345720862085014,0.0700556563061105,0,0.540328090270375,0.854210525789054
"TCGA-FP-7735-01A",0.0443859558582459,0.0503581291833592,0.11502052250845,0.159052727140689,0,0.105682943458363,0.0553751369304778,0,0.0605229607399944,0,0,0.0109135464780554,0.00921704398478553,0.0741841393708277,0.0722768493100344,0.135610651674816,0.0655492582502254,0,0.0416977384466109,0,0,0.000152396665065887,0,0.463405992676573,0.887036494516944
"TCGA-VQ-A8PK-01A",0.0550894928947632,0,0.116064164686368,0.0128078237791048,0,0.260326719616058,0.103568616425907,0.00493539172584061,0.0014765303932559,0,0.0309377899253898,0.0373091683031502,0,0.0493583584608729,0.0750358233042115,0.154173019985449,0,0.0720512619021444,0.0222455425315652,0,0,0.00462029606591868,0,0.297329432033398,0.961175716740173
"TCGA-BR-7707-01A",0,0,0.0982674303341515,0.135397605429589,0,0.152886150718886,0.122324463754221,0.0306664994037805,0.0157841418208526,0,0.0239513845658469,0.0280909674000893,0,0.0742208312225566,0.0980666964467119,0.121800472284057,0,0.0515051175366457,0.0111262602170739,0,0,0.0359119788655377,0,0.451574991846526,0.891614797231446
