"","Tumor_Sample_Barcode","total","total_perMB","total_perMB_log"
"138","TCGA-CG-4474-01A-02D-1158-08",81,1.62,0.209515014542631
"139","TCGA-BR-6705-01A-12D-1882-08",82,1.64,0.214843848047698
"140","TCGA-BR-A4J5-01A-21D-A25D-08",82,1.64,0.214843848047698
"141","TCGA-CD-5798-01A-11D-1600-08",82,1.64,0.214843848047698
"142","TCGA-FP-8631-01A-11D-2394-08",82,1.64,0.214843848047698
"143","TCGA-IN-A7NU-01A-22D-A34U-08",82,1.64,0.214843848047698
"144","TCGA-BR-6709-01A-11D-1882-08",83,1.66,0.220108088040055
"145","TCGA-MX-A663-01A-11D-A31L-08",83,1.66,0.220108088040055
"146","TCGA-F1-6875-01A-11D-2053-08",84,1.68,0.225309281725863
"147","TCGA-IN-A6RS-01A-12D-A34U-08",84,1.68,0.225309281725863
"148","TCGA-VQ-A923-01A-11D-A410-08",84,1.68,0.225309281725863
"149","TCGA-CD-A486-01A-11D-A24D-08",85,1.7,0.230448921378274
"150","TCGA-FP-A8CX-01A-11D-A364-08",85,1.7,0.230448921378274
"151","TCGA-KB-A93G-01A-11D-A397-08",85,1.7,0.230448921378274
"152","TCGA-VQ-AA6A-01A-11D-A410-08",85,1.7,0.230448921378274
"153","TCGA-CG-4449-01A-01D-1158-08",86,1.72,0.235528446907549
"154","TCGA-VQ-A8PK-01A-12D-A410-08",86,1.72,0.235528446907549
"155","TCGA-VQ-AA6I-01A-11D-A410-08",86,1.72,0.235528446907549
"156","TCGA-BR-8285-01A-11D-2340-08",87,1.74,0.2405492482826
"157","TCGA-D7-6524-01A-11D-1800-08",87,1.74,0.2405492482826
"158","TCGA-FP-7916-01A-11D-2201-08",87,1.74,0.2405492482826
"159","TCGA-IN-A6RI-01A-11D-A32N-08",88,1.76,0.24551266781415
"160","TCGA-VQ-A8E7-01B-11D-A410-08",88,1.76,0.24551266781415
"161","TCGA-BR-7959-01A-11D-2340-08",90,1.8,0.255272505103306
"162","TCGA-VQ-A8E0-01A-11D-A410-08",90,1.8,0.255272505103306
"163","TCGA-BR-A452-01A-91D-A25D-08",91,1.82,0.260071387985075
"164","TCGA-CD-8528-01A-11D-2340-08",91,1.82,0.260071387985075
"165","TCGA-FP-8211-01A-11D-2340-08",91,1.82,0.260071387985075
"166","TCGA-BR-8370-01A-11D-2340-08",92,1.84,0.264817823009536
"167","TCGA-BR-4253-01A-01D-1126-08",93,1.86,0.269512944217916
"168","TCGA-CG-4441-01A-01D-1800-08",93,1.86,0.269512944217916
"169","TCGA-FP-A4BF-01A-12D-A24D-08",93,1.86,0.269512944217916
"170","TCGA-KB-A6F7-01A-12D-A32N-08",93,1.86,0.269512944217916
"171","TCGA-VQ-A8P8-01A-11D-A397-08",93,1.86,0.269512944217916
