"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"High.risk.72","False","False","0.92","-0.11","0.47","-0.10","0.00","-0.20","False","0.19","0.92","-0.07","0.19","0.01"
"Low.risk.20","False","False","0.92","0.30","0.72","0.24","0.00","0.26","True","0.92","-0.78","-0.07","0.03","-0.08"
"High.risk.162","False","False","0.91","0.38","0.46","0.29","0.00","0.44","True","0.91","-1.93","-0.15","-0.08","-0.06"
"High.risk.56","False","False","0.91","0.00","0.48","0.05","0.00","0.21","True","0.91","0.42","-0.08","0.15","-0.01"
"High.risk.152","False","False","0.91","0.25","0.46","0.19","0.00","0.45","True","0.91","0.33","-0.10","0.19","-0.03"
"High.risk.28","False","False","0.90","-0.09","0.65","0.10","0.00","0.32","True","0.90","-0.54","-0.09","0.00","0.01"
"High.risk.106","False","False","0.89","-0.00","0.48","0.08","0.00","0.12","True","0.89","0.26","0.03","-0.00","0.00"
"Low.risk.139","False","False","0.89","0.13","0.47","0.17","0.00","0.28","True","0.89","-2.37","-0.11","-0.17","-0.09"
"High.risk.39","False","False","0.88","-0.04","0.43","0.02","0.00","0.22","True","0.88","0.95","-0.02","0.18","-0.02"
"High.risk.122","False","False","0.87","0.26","0.65","0.19","0.00","0.21","True","0.87","-0.76","-0.04","-0.04","-0.07"
"Low.risk.168","False","False","0.87","-0.28","0.37","-0.35","0.00","-0.59","False","-0.86","0.87","0.15","-0.09","0.07"
"High.risk.71","False","False","0.85","-0.12","0.40","-0.15","0.00","-0.21","False","0.05","0.85","0.01","0.11","0.01"
"High.risk.63","False","False","0.85","-0.19","0.45","-0.19","0.00","-0.31","False","-0.45","0.85","0.04","0.06","0.04"
"High.risk.58","False","False","0.85","-0.16","0.53","-0.08","0.00","0.08","False","0.78","0.85","-0.10","0.19","0.04"
"High.risk.115","False","False","0.84","0.36","0.40","0.25","0.00","0.21","True","0.84","-1.45","-0.16","-0.01","-0.04"
"Low.risk.39","False","False","0.84","-0.19","0.39","-0.08","0.00","-0.18","False","0.19","0.84","0.13","-0.05","0.05"
"Low.risk.10","False","False","0.83","0.25","0.67","0.24","0.00","0.33","True","0.83","-0.64","0.03","-0.04","-0.11"
